,ligand_id,file_prefix,label,train_test_split,atom_count,xsize,ysize,zsize,p_atom_count1,p_atom_count2,p_xsize,p_ysize,p_zsize,bind
45,1b38,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b38,6.6,0,0,0,0,0,0,0,0,0,0,2
46,1b3f,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b3f,6.89,0,0,0,0,0,0,0,0,0,0,2
47,1b3g,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b3g,6.7,0,0,0,0,0,0,0,0,0,0,2
48,1b40,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b40,7.28,0,0,0,0,0,0,0,0,0,0,2
49,1b46,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b46,5.28,0,0,0,0,0,0,0,0,0,0,0
50,1b4h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b4h,5.46,0,0,0,0,0,0,0,0,0,0,0
51,1b4z,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b4z,5.23,0,0,0,0,0,0,0,0,0,0,0
52,1b51,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b51,7.37,0,0,0,0,0,0,0,0,0,0,2
53,1b52,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b52,7.12,0,0,0,0,0,0,0,0,0,0,2
54,1b55,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b55,7.4,0,0,0,0,0,0,0,0,0,0,2
55,1b58,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b58,6.59,0,0,0,0,0,0,0,0,0,0,2
56,1b5h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b5h,6.01,0,0,0,0,0,0,0,0,0,0,2
57,1b5i,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b5i,7.05,0,0,0,0,0,0,0,0,0,0,2
58,1b5j,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b5j,7.43,0,0,0,0,0,0,0,0,0,0,2
59,1b6h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b6h,7.82,0,0,0,0,0,0,0,0,0,0,2
60,1b6j,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b6j,7.92,0,0,0,0,0,0,0,0,0,0,2
61,1b7h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b7h,8.02,0,0,0,0,0,0,0,0,0,0,1
62,1b8n,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b8n,10.52,0,0,0,0,0,0,0,0,0,0,1
63,1b8o,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b8o,10.64,0,0,0,0,0,0,0,0,0,0,1
64,1b8y,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b8y,7.85,0,0,0,0,0,0,0,0,0,0,2
65,1b9j,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1b9j,5.96,0,0,0,0,0,0,0,0,0,0,0
66,1bai,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bai,7.7,0,0,0,0,0,0,0,0,0,0,2
67,1bdq,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bdq,6.34,0,0,0,0,0,0,0,0,0,0,2
68,1bgq,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bgq,8.57,0,0,0,0,0,0,0,0,0,0,1
69,1bhf,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bhf,4.38,0,0,0,0,0,0,0,0,0,0,0
70,1bhx,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bhx,6.84,0,0,0,0,0,0,0,0,0,0,2
71,1bju,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bju,4.8,0,0,0,0,0,0,0,0,0,0,0
72,1bjv,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bjv,5.54,0,0,0,0,0,0,0,0,0,0,0
73,1bm7,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bm7,7.52,0,0,0,0,0,0,0,0,0,0,2
74,1bma,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bma,4.59,0,0,0,0,0,0,0,0,0,0,0
75,1bn1,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bn1,9.34,0,0,0,0,0,0,0,0,0,0,1
76,1bn3,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bn3,9.89,0,0,0,0,0,0,0,0,0,0,1
77,1bn4,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bn4,9.31,0,0,0,0,0,0,0,0,0,0,1
78,1bnn,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bnn,10.0,0,0,0,0,0,0,0,0,0,0,1
79,1bnt,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bnt,9.8,0,0,0,0,0,0,0,0,0,0,1
80,1bnu,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bnu,9.7,0,0,0,0,0,0,0,0,0,0,1
81,1bnv,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bnv,8.77,0,0,0,0,0,0,0,0,0,0,1
82,1bnw,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bnw,9.08,0,0,0,0,0,0,0,0,0,0,1
83,1bp0,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bp0,5.4,0,0,0,0,0,0,0,0,0,0,0
84,1bq4,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bq4,5.22,0,0,0,0,0,0,0,0,0,0,0
85,1br6,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1br6,3.22,0,0,0,0,0,0,0,0,0,0,0
86,1bty,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bty,4.74,0,0,0,0,0,0,0,0,0,0,0
87,1bv7,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bv7,10.3,0,0,0,0,0,0,0,0,0,0,1
88,1bv9,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bv9,9.96,0,0,0,0,0,0,0,0,0,0,1
89,1bwa,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bwa,8.6,0,0,0,0,0,0,0,0,0,0,1
90,1bwb,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bwb,8.42,0,0,0,0,0,0,0,0,0,0,1
91,1bxo,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bxo,10.0,0,0,0,0,0,0,0,0,0,0,1
92,1bxq,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bxq,7.38,0,0,0,0,0,0,0,0,0,0,2
93,1bxr,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bxr,3.4,0,0,0,0,0,0,0,0,0,0,0
94,1bzj,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bzj,4.66,0,0,0,0,0,0,0,0,0,0,0
95,1bzy,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1bzy,8.34,0,0,0,0,0,0,0,0,0,0,1
96,1c1r,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c1r,7.63,0,0,0,0,0,0,0,0,0,0,2
97,1c1u,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c1u,8.25,0,0,0,0,0,0,0,0,0,0,1
98,1c1v,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c1v,7.64,0,0,0,0,0,0,0,0,0,0,2
99,1c3e,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c3e,6.59,0,0,0,0,0,0,0,0,0,0,2
100,1c3x,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c3x,3.68,0,0,0,0,0,0,0,0,0,0,0
101,1c5c,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5c,6.96,0,0,0,0,0,0,0,0,0,0,2
102,1c5n,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5n,4.7,0,0,0,0,0,0,0,0,0,0,0
103,1c5o,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5o,3.49,0,0,0,0,0,0,0,0,0,0,0
104,1c5p,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5p,4.68,0,0,0,0,0,0,0,0,0,0,0
105,1c5q,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5q,6.36,0,0,0,0,0,0,0,0,0,0,2
106,1c5s,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5s,6.0,0,0,0,0,0,0,0,0,0,0,2
107,1c5t,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5t,4.1,0,0,0,0,0,0,0,0,0,0,0
108,1c5x,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5x,6.68,0,0,0,0,0,0,0,0,0,0,2
109,1c5y,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c5y,4.2,0,0,0,0,0,0,0,0,0,0,0
110,1c70,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c70,10.3,0,0,0,0,0,0,0,0,0,0,1
111,1c83,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c83,4.85,0,0,0,0,0,0,0,0,0,0,0
112,1c86,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c86,4.7,0,0,0,0,0,0,0,0,0,0,0
113,1c87,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c87,4.2,0,0,0,0,0,0,0,0,0,0,0
114,1c88,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1c88,5.29,0,0,0,0,0,0,0,0,0,0,0
115,1cbx,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1cbx,6.35,0,0,0,0,0,0,0,0,0,0,2
116,1ceb,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ceb,6.0,0,0,0,0,0,0,0,0,0,0,2
117,1cet,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1cet,2.89,0,0,0,0,0,0,0,0,0,0,0
118,1cgl,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1cgl,6.87,0,0,0,0,0,0,0,0,0,0,2
119,1ch8,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ch8,7.0,0,0,0,0,0,0,0,0,0,0,2
120,1ciz,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ciz,7.44,0,0,0,0,0,0,0,0,0,0,2
121,1cnw,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1cnw,7.72,0,0,0,0,0,0,0,0,0,0,2
122,1cny,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1cny,7.85,0,0,0,0,0,0,0,0,0,0,2
123,1cps,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1cps,6.66,0,0,0,0,0,0,0,0,0,0,2
124,1ct8,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ct8,6.52,0,0,0,0,0,0,0,0,0,0,2
125,1ctt,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ctt,4.52,0,0,0,0,0,0,0,0,0,0,0
126,1ctu,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ctu,11.92,0,0,0,0,0,0,0,0,0,0,1
127,1d09,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d09,7.57,0,0,0,0,0,0,0,0,0,0,2
128,1d2e,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d2e,6.0,0,0,0,0,0,0,0,0,0,0,2
129,1d3d,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d3d,9.09,0,0,0,0,0,0,0,0,0,0,1
130,1d3p,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d3p,7.39,0,0,0,0,0,0,0,0,0,0,2
131,1d4i,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d4i,8.85,0,0,0,0,0,0,0,0,0,0,1
132,1d4j,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d4j,8.36,0,0,0,0,0,0,0,0,0,0,1
133,1d4k,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d4k,9.22,0,0,0,0,0,0,0,0,0,0,1
134,1d4l,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d4l,8.77,0,0,0,0,0,0,0,0,0,0,1
135,1d4p,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d4p,6.3,0,0,0,0,0,0,0,0,0,0,2
136,1d4y,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d4y,11.1,0,0,0,0,0,0,0,0,0,0,1
137,1d6v,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d6v,6.17,0,0,0,0,0,0,0,0,0,0,2
138,1d6w,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d6w,5.96,0,0,0,0,0,0,0,0,0,0,0
139,1d7i,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d7i,3.6,0,0,0,0,0,0,0,0,0,0,0
140,1d7j,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d7j,3.3,0,0,0,0,0,0,0,0,0,0,0
141,1d9i,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1d9i,9.11,0,0,0,0,0,0,0,0,0,0,1
142,1dar,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dar,4.96,0,0,0,0,0,0,0,0,0,0,0
143,1det,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1det,4.3,0,0,0,0,0,0,0,0,0,0,0
144,1dfo,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dfo,6.7,0,0,0,0,0,0,0,0,0,0,2
145,1dgm,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dgm,5.05,0,0,0,0,0,0,0,0,0,0,0
146,1dhj,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dhj,6.55,0,0,0,0,0,0,0,0,0,0,2
147,1dif,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dif,10.66,0,0,0,0,0,0,0,0,0,0,1
148,1dl7,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dl7,6.49,0,0,0,0,0,0,0,0,0,0,2
149,1dmp,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dmp,9.55,0,0,0,0,0,0,0,0,0,0,1
150,1dqn,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dqn,8.0,0,0,0,0,0,0,0,0,0,0,2
151,1drj,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1drj,7.4,0,0,0,0,0,0,0,0,0,0,2
152,1drk,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1drk,6.82,0,0,0,0,0,0,0,0,0,0,2
153,1drv,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1drv,6.54,0,0,0,0,0,0,0,0,0,0,2
154,1dud,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dud,4.82,0,0,0,0,0,0,0,0,0,0,0
155,1duv,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1duv,11.8,0,0,0,0,0,0,0,0,0,0,1
156,1dy4,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dy4,4.36,0,0,0,0,0,0,0,0,0,0,0
157,1dzk,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1dzk,6.1,0,0,0,0,0,0,0,0,0,0,2
158,1e1v,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e1v,4.92,0,0,0,0,0,0,0,0,0,0,0
159,1e1x,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e1x,5.89,0,0,0,0,0,0,0,0,0,0,0
160,1e2l,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e2l,4.29,0,0,0,0,0,0,0,0,0,0,0
161,1e3g,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e3g,9.0,0,0,0,0,0,0,0,0,0,0,1
162,1e3v,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e3v,4.34,0,0,0,0,0,0,0,0,0,0,0
163,1e4h,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e4h,8.41,0,0,0,0,0,0,0,0,0,0,1
164,1e5j,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e5j,4.0,0,0,0,0,0,0,0,0,0,0,0
165,1e6q,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e6q,3.15,0,0,0,0,0,0,0,0,0,0,0
166,1e6s,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1e6s,3.22,0,0,0,0,0,0,0,0,0,0,0
167,1ebw,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ebw,9.05,0,0,0,0,0,0,0,0,0,0,1
168,1ebz,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ebz,9.4,0,0,0,0,0,0,0,0,0,0,1
169,1ec0,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ec0,8.49,0,0,0,0,0,0,0,0,0,0,1
170,1ec1,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ec1,8.92,0,0,0,0,0,0,0,0,0,0,1
171,1ec2,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ec2,10.0,0,0,0,0,0,0,0,0,0,0,1
172,1ec3,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ec3,9.04,0,0,0,0,0,0,0,0,0,0,1
173,1ec9,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ec9,3.1,0,0,0,0,0,0,0,0,0,0,0
174,1ecq,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ecq,3.0,0,0,0,0,0,0,0,0,0,0,0
175,1ecv,0/pdbbind2016_refined_pybel_processed_crystal_48_radius1_sigma1_rot0_train/1ecv,4.85,0,0,0,0,0,0,0,0,0,0,0
